Прізвище,Ім’я,По батькові,Стать,Дата народження,Посада,Місто проживання,Адреса проживання,Телефон,Email
Гречко,Амвросій,Олександрович,Чоловік,05.07.1960,Правник,село Звенигородка,"площа Академічна, буд. 346, Кілія, 71814",058 903 27 78,rvakhnii@example.com
Ільєнко,Єфрем,Мирославович,Чоловік,29.06.1949,Професор,хутір Прип'ять ,"площа Дігтярна, буд. 9 кв. 27, Ужгород, 47569",+380 58 681-26-56,romanenkonazar@example.net
Абрагамовський,Михайло,Едуардович,Чоловік,28.05.1985,Ґрунтознавець,хутір Білогірськ,"набережна Чорноморський 11-й, буд. 091, Балта, 85446",+380 13 196-87-80,khrystynabarannyk@example.com
Гуцуляк,Мартин,Лукʼянович,Чоловік,18.11.2003,Гірник,місто Скадовськ,"площа Восьмого березня узвіз, буд. 49, Славута, 52713",+380 53 628 11 58,iukhymenkoihnat@example.com
Жадан,Давид,Антонович,Чоловік,12.05.1999,Археолог,хутір Борзна,"вулиця Матроська Слобідка, буд. 2 кв. 331, Курахове, 45458",726 47 34,zakhar55@example.org
Демʼяненко,Азар,Альбертович,Чоловік,28.10.1991,Бібліограф,місто Сокиряни,"вулиця Залізничний 3-й, буд. 772, Сорокине, 08814",043 086-11-04,blytvyn@example.org
Франчук,Євген,Ааронович,Чоловік,06.07.2006,Гірник,селище Перевальськ,"набережна Суперфосфатна, буд. 53, Соснівка , 41644",+380 78 115-35-17,andriichukviacheslav@example.com
Левченко,Прохір,Іванович,Чоловік,24.03.1997,Дипломат,хутір Вуглегірськ,"шосе Хутірська, буд. 971, Благовіщенське, 32705",093 841 00 48,atamanchukodarka@example.com
Іванченко,Віктор,Трохимович,Чоловік,24.02.1965,Маркетолог,хутір Нова Каховка,"площа Миколаївський 1-й, буд. 9 кв. 82, Нове Давидково, 61112",085 783 30 19,jkozachenko@example.org
Бевз,Мартин,Іванович,Чоловік,09.06.1955,Патологоанатом,селище Гуляйполе,"провулок Академіка Вільямса, буд. 8 кв. 5, Миколаїв, 63377",027 226-89-28,obarannyk@example.org
Фоменко,Орест,Борисович,Чоловік,22.04.1987,Пекар,місто Рожище,"узвіз Чорноморський 1-й, буд. 33, Антрацит , 90951",007 369 64 56,sandriichuk@example.org
Алексюк,Аркадій,Тимофійович,Чоловік,21.08.1987,Антрополог,хутір Добропілля,"сквер Щоголєва, буд. 9 кв. 23, Андрушівка, 02263",158 98 29,bohdan12@example.org
Наливайко,Богуслав,Аврелійович,Чоловік,01.04.1985,Літературознавець,хутір Бахмут,"сквер Коцюбинського, буд. 325, Бахмут, 05316",+380 00 660 80 68,bumanets@example.net
Чубай,Марко,Микитович,Чоловік,18.08.1999,Клавішник,місто Бобринець,"площа Жевахова, буд. 93 кв. 712, Березівка, 98919",021 186 35 48,bshelest@example.com
Гайдабура,Руслан,Богодарович,Чоловік,07.02.1957,Будник,хутір Коростишів,"набережна Туристська, буд. 84 кв. 15, Київ, 43534",597 39 79,olhazabashta@example.org
Бабʼяк,Аркадій,Семенович,Чоловік,21.02.1973,Штукатур,село Нова Каховка,"вулиця Бодаревського, буд. 0 кв. 389, Пустомити, 59546",534-39-25,dkorsun@example.com
Зінкевич,Симон,Михайлович,Чоловік,14.11.1976,Машиніст,селище Тростянець,"площа Вишнева, буд. 78, Ровеньки, 90507",+380 (34) 874-13-09,mivasiuk@example.net
Яремчук,Вʼячеслав,Антонович,Чоловік,16.07.1961,Сценарист,село Судак ,"сквер Корнюшина, буд. 574 кв. 2, Ялта, 59094",+380 51 523-00-92,anastasiiapoltavets@example.net
Нестеренко,Арсен,Богуславович,Чоловік,25.10.1974,Публіцист,селище Остер ,"сквер Чорноморський 8-й, буд. 61, Золоте, 27979",+380 88 670-56-80,drobiazkosolomiia@example.org
Примаченко,Пантелеймон,Кирилович,Чоловік,09.05.1980,Біолог,хутір Добропілля,"сквер Новгородський, буд. 644, Ясинувата, 02886",138-62-76,priska00@example.org
Бабійчук,Георгій,Едуардович,Чоловік,09.02.1998,Електромонтажник,хутір Стебник,"сквер Артилерійський 2-й, буд. 9 кв. 8, Синельникове, 96026",+380 (99) 911-30-92,lzharko@example.com
Сацюк,Лукʼян,Опанасович,Чоловік,23.10.1972,Літературознавець,селище Довжанськ,"узвіз Улітіна, буд. 07 кв. 0, Тульчин, 21016",003 412-60-67,hoholkostiantyn@example.com
Баклан,Станіслав,Максимович,Чоловік,15.05.1981,Ґрунтознавець,хутір Надвірна,"шосе Чорноморський 5-й, буд. 5 кв. 035, Сквира, 56001",015 754 98 80,viacheslav22@example.net
Жайворон,Прохір,Сергійович,Чоловік,07.05.1969,Музичний редактор,селище Снігурівка,"шосе Пантелеймонівська, буд. 52, Узин, 27417",820 00 92,irena19@example.net
Цюпа,Симон,Едуардович,Чоловік,07.07.1996,Фотограф,селище Червоносів,"провулок Східний 1-й, буд. 365 кв. 0, Липовець, 41071",+380 29 157 94 48,iesypenkovadym@example.net
Сич,Яків,Назарович,Чоловік,07.06.1995,Фрілансер,селище Олевськ,"вулиця Манежний, буд. 7 кв. 3, Прилуки, 85221",+380 88 770-32-87,bohdan97@example.com
Деряжний,Давид,Юстимович,Чоловік,15.01.1951,Золотар,хутір Переяслав,"провулок Садовського, буд. 9, Батурин, 03920",021 508 34 61,nbabak@example.net
Давиденко,Пилип,Максимович,Чоловік,10.07.1976,Гінеколог,хутір Кролевець,"площа Садова 2-га, буд. 261, Селидове, 82647",676-13-78,stetsaaron@example.org
Гоголь,Охрім,Єфремович,Чоловік,23.07.1961,Кушнір,місто Дніпрорудне,"шосе Угорська, буд. 74 кв. 03, Родинське, 76918",+380 47 747-10-61,nestorhavrylets@example.net
Дутка,Лукʼян,Демʼянович,Чоловік,19.05.2005,Фотограф,село Мена ,"парк Літній, буд. 418, Кам'янка-Бузька, 33766",192-39-41,liubovandriichuk@example.com
Баранник,Нестор,Ростиславович,Чоловік,04.08.1984,Вчитель,місто Дніпрорудне,"узвіз Кишинівська, буд. 31, Вугледар, 14059",+380 83 593-67-64,ievhendemydenko@example.net
Оліфіренко,Зорян,Євгенійович,Чоловік,02.06.1954,Графік,місто Вознесенівка,"парк Мазараті, буд. 734, Вільнянськ, 98666",004 069-62-23,hennadiisvystun@example.com
Самойленко,Арсен,Орестович,Чоловік,06.12.1958,Електрик,місто Моршин,"набережна Флотська, буд. 35, Зіньків, 35584",736 98 24,orynaiarosh@example.com
Ярош,Августин,Артемович,Чоловік,23.10.1992,Гінеколог,хутір Тульчин,"парк Прорізний, буд. 50, Тараща, 07244",024 486-36-66,iurchenkoviktor@example.com
Лавренко,Демид,Петрович,Чоловік,02.09.1982,Публіцист,місто Бахмут,"провулок Новощіпний ряд, буд. 5 кв. 22, Почаїв, 99720",263-98-27,uierchenko@example.com
Деряжний,Леопольд,Миронович,Чоловік,16.01.1995,Мірошник,селище Прип'ять ,"площа Грецька, буд. 8, Бучач, 79357",352-84-84,shevchenkobohodar@example.com
Яремків,Орест,Панасович,Чоловік,18.02.1948,Антрополог,село Марганець ,"сквер Офіцерський 1-й, буд. 827, Алчевськ, 56044",+380 72 458-16-02,anzheladubas@example.net
Данчук,Феофан,Болеславович,Чоловік,03.07.1961,Мірошник,село Рені,"узвіз Керченський 1-й, буд. 62 кв. 50, Скадовськ, 13918",041 534 29 04,ielyseiiemelianenko@example.net
